Территория/Регион,Health,Housing Quality,Leisure Time,Life,Living Condition,Professional Wellbeing,Financial Situation
Акмолинская область,7,10,3,9,7,5,7
Восточно-Казахстанская область,7,10,3,9,8,89,7
Западно - Казахстанская область,7,10,3,9,9,8,5
Северо-Казахстанская область,7,10,3,9,10,8,7
Восточно-Казахстанская область,7,10,3,9,10,8,8
Восточно-Казахстанская область,7,10,3,10,6,7,9
Павлодарская область,7,10,3,10,9,9,8
Алматинская область,7,10,4,4,7,5,8
Акмолинская область,7,10,4,4,10,7,6
Абайская область,7,10,4,5,5,89,6
Карагандинская область,7,10,4,5,7,10,7
Кызылординская область,7,10,4,5,9,10,9
Кызылординская область,7,10,4,5,9,89,7
Восточно-Казахстанская область,7,10,4,5,10,7,4
Павлодарская область,7,10,4,6,5,7,4
Карагандинская область,7,10,4,6,7,6,4
Кызылординская область,7,10,4,6,9,7,4
Акмолинская область,7,10,4,7,5,6,9
Западно - Казахстанская область,7,10,4,7,6,10,4
Алматинская область,7,10,4,7,7,7,9
Западно - Казахстанская область,7,10,4,7,7,9,6
Карагандинская область,7,10,4,7,7,9,7
г. Астана,7,10,4,7,7,10,5
Жамбылская область,7,10,4,7,7,89,4
Кызылординская область,7,10,4,7,8,6,7
г. Алматы,7,10,4,7,8,8,7
Акмолинская область,7,10,4,7,8,9,7
Акмолинская область,7,10,4,7,8,9,8
Туркестанская область,7,10,4,7,9,7,6
Кызылординская область,7,10,4,7,9,7,7
Мангистауская область,7,10,4,7,9,8,7
Восточно-Казахстанская область,7,10,4,7,9,89,7
Жетісу область,7,10,4,7,10,9,7
Актюбинская область,7,10,4,7,10,89,6
Кызылординская область,7,10,4,8,5,10,10
Акмолинская область,7,10,4,8,7,8,8
Абайская область,7,10,4,8,7,89,7
Павлодарская область,7,10,4,8,8,8,8
Кызылординская область,7,10,4,8,8,8,9
г. Алматы,7,10,4,8,8,9,10
Восточно-Казахстанская область,7,10,4,8,9,6,8
Атырауская область,7,10,4,9,2,9,6
Мангистауская область,7,10,4,9,5,8,6
г. Астана,7,10,4,9,7,7,10
Туркестанская область,7,10,4,9,7,10,8
Кызылординская область,7,10,4,9,8,8,7
Павлодарская область,7,10,4,9,8,8,7
Атырауская область,7,10,4,9,8,9,9
Западно - Казахстанская область,7,10,4,9,8,10,5
г. Алматы,7,10,4,9,8,10,8
Актюбинская область,7,10,4,9,8,89,5
Западно - Казахстанская область,7,10,4,9,8,89,10
г. Шымкент,7,10,4,9,9,89,9
Актюбинская область,7,10,4,9,10,10,7
Актюбинская область,7,10,4,10,7,4,4
Жетісу область,7,10,4,10,7,10,7
Павлодарская область,7,10,4,10,7,10,7
Западно - Казахстанская область,7,10,4,10,8,8,6
Жамбылская область,7,10,4,10,8,8,8
Кызылординская область,7,10,4,10,9,8,10
Северо-Казахстанская область,7,10,4,10,9,89,10
г. Алматы,7,10,4,10,10,10,8
Западно - Казахстанская область,7,10,4,89,8,9,4
Павлодарская область,7,10,5,4,6,8,89
г. Алматы,7,10,5,4,7,8,10
Карагандинская область,7,10,5,4,7,10,9
Актюбинская область,7,10,5,4,9,10,7
Карагандинская область,7,10,5,5,6,89,89
Актюбинская область,7,10,5,5,7,7,10
г. Алматы,7,10,5,5,7,9,4
Мангистауская область,7,10,5,5,7,89,4
Восточно-Казахстанская область,7,10,5,5,8,5,10
Костанайская область,7,10,5,5,8,10,10
Северо-Казахстанская область,7,10,5,5,8,89,6
Карагандинская область,7,10,5,6,6,3,7
г. Алматы,7,10,5,6,6,5,5
Западно - Казахстанская область,7,10,5,6,6,6,7
Туркестанская область,7,10,5,6,6,10,5
Акмолинская область,7,10,5,6,6,89,7
Кызылординская область,7,10,5,6,7,5,7
Костанайская область,7,10,5,6,7,9,8
Актюбинская область,7,10,5,6,7,89,7
Алматинская область,7,10,5,6,8,8,8
Туркестанская область,7,10,5,6,8,10,7
Акмолинская область,7,10,5,6,9,89,6
г. Алматы,7,10,5,6,10,9,9
г. Алматы,7,10,5,6,10,10,7
Павлодарская область,7,10,5,7,4,6,5
Северо-Казахстанская область,7,10,5,7,5,8,89
г. Алматы,7,10,5,7,5,89,9
Костанайская область,7,10,5,7,6,6,7
г. Астана,7,10,5,7,6,7,6
Западно - Казахстанская область,7,10,5,7,6,10,6
Павлодарская область,7,10,5,7,6,89,7
Акмолинская область,7,10,5,7,7,6,5
Костанайская область,7,10,5,7,7,8,9
Карагандинская область,7,10,5,7,7,9,7
Северо-Казахстанская область,7,10,5,7,7,9,8
Жамбылская область,7,10,5,7,7,10,6
Кызылординская область,7,10,5,7,7,10,7
Алматинская область,7,10,5,7,7,10,10
Жетісу область,7,10,5,7,7,89,4
Костанайская область,7,10,5,7,7,89,7
Алматинская область,7,10,5,7,8,6,7
Павлодарская область,7,10,5,7,8,6,7
Костанайская область,7,10,5,7,8,7,6
Северо-Казахстанская область,7,10,5,7,8,7,6
Жамбылская область,7,10,5,7,8,7,8
Кызылординская область,7,10,5,7,8,8,6
Жамбылская область,7,10,5,7,8,8,7
Жетісу область,7,10,5,7,8,9,7
Акмолинская область,7,10,5,7,8,89,7
г. Астана,7,10,5,7,9,5,9
Акмолинская область,7,10,5,7,9,6,9
Абайская область,7,10,5,7,9,7,7
Акмолинская область,7,10,5,7,9,8,7
Абайская область,7,10,5,7,9,9,7
г. Алматы,7,10,5,7,9,9,9
Павлодарская область,7,10,5,7,10,4,5
Акмолинская область,7,10,5,7,10,5,7
г. Алматы,7,10,5,7,10,7,6
Павлодарская область,7,10,5,7,10,7,8
Северо-Казахстанская область,7,10,5,7,10,9,8
Туркестанская область,7,10,5,7,10,10,7
Алматинская область,7,10,5,7,10,89,6
Алматинская область,7,10,5,8,3,8,5
Северо-Казахстанская область,7,10,5,8,5,10,7
Жетісу область,7,10,5,8,6,10,8
Жетісу область,7,10,5,8,6,10,10
Костанайская область,7,10,5,8,7,7,8
Северо-Казахстанская область,7,10,5,8,7,8,5
Жетісу область,7,10,5,8,7,8,10
Костанайская область,7,10,5,8,7,9,7
Ұлытау область,7,10,5,8,7,89,10
Алматинская область,7,10,5,8,8,7,8
Павлодарская область,7,10,5,8,8,7,8
Актюбинская область,7,10,5,8,8,8,9
Восточно-Казахстанская область,7,10,5,8,8,8,9
Карагандинская область,7,10,5,8,9,8,9
Актюбинская область,7,10,5,8,9,10,8
Карагандинская область,7,10,5,8,9,10,9
г. Астана,7,10,5,8,10,2,5
Восточно-Казахстанская область,7,10,5,8,10,7,9
г. Алматы,7,10,5,8,10,8,7
Алматинская область,7,10,5,9,6,7,7
Восточно-Казахстанская область,7,10,5,9,6,9,9
Жамбылская область,7,10,5,9,6,10,9
Актюбинская область,7,10,5,9,7,6,7
Кызылординская область,7,10,5,9,7,7,8
Жамбылская область,7,10,5,9,7,9,9
Атырауская область,7,10,5,9,7,10,8
Жамбылская область,7,10,5,9,7,89,6
г. Астана,7,10,5,9,8,10,8
г. Астана,7,10,5,9,9,7,8
Атырауская область,7,10,5,9,9,8,8
Акмолинская область,7,10,5,9,9,10,7
Кызылординская область,7,10,5,9,10,8,8
Актюбинская область,7,10,5,9,10,8,9
Кызылординская область,7,10,5,9,10,9,6
Актюбинская область,7,10,5,10,5,8,9
г. Астана,7,10,5,10,7,6,6
Алматинская область,7,10,5,10,7,7,10
г. Астана,7,10,5,10,7,8,7
Алматинская область,7,10,5,10,7,10,9
Восточно-Казахстанская область,7,10,5,10,8,4,9
Кызылординская область,7,10,5,10,8,6,8
Алматинская область,7,10,5,10,8,8,9
г. Алматы,7,10,5,10,9,7,7
Актюбинская область,7,10,5,10,10,5,7
Туркестанская область,7,10,5,10,10,10,10
Костанайская область,7,10,6,4,9,9,8
Павлодарская область,7,10,6,4,10,5,6
Костанайская область,7,10,6,5,4,7,7
Жамбылская область,7,10,6,5,5,7,8
г. Алматы,7,10,6,5,6,5,89
Атырауская область,7,10,6,5,6,89,9
Атырауская область,7,10,6,5,8,7,6
г. Астана,7,10,6,6,4,8,6
Восточно-Казахстанская область,7,10,6,6,5,9,7
г. Астана,7,10,6,6,6,8,7
Северо-Казахстанская область,7,10,6,6,6,10,4
Актюбинская область,7,10,6,6,6,89,8
Мангистауская область,7,10,6,6,7,8,6
Жамбылская область,7,10,6,6,7,8,7
Актюбинская область,7,10,6,6,7,8,8
Западно - Казахстанская область,7,10,6,6,7,9,6
Алматинская область,7,10,6,6,7,9,7
Алматинская область,7,10,6,6,7,9,9
Павлодарская область,7,10,6,6,8,7,9
Алматинская область,7,10,6,6,8,8,7
Актюбинская область,7,10,6,6,8,8,8
Алматинская область,7,10,6,6,8,10,8
Жетісу область,7,10,6,6,8,89,5
Северо-Казахстанская область,7,10,6,6,9,10,7
Западно - Казахстанская область,7,10,6,6,9,89,10
Павлодарская область,7,10,6,6,10,9,3
Костанайская область,7,10,6,7,4,10,4
Туркестанская область,7,10,6,7,5,10,9
Карагандинская область,7,10,6,7,5,89,5
Акмолинская область,7,10,6,7,5,89,6
Костанайская область,7,10,6,7,6,6,89
Мангистауская область,7,10,6,7,6,7,6
г. Алматы,7,10,6,7,6,7,7
Северо-Казахстанская область,7,10,6,7,6,8,6
Костанайская область,7,10,6,7,6,8,10
Костанайская область,7,10,6,7,6,9,7
Мангистауская область,7,10,6,7,6,9,8
Кызылординская область,7,10,6,7,6,89,7
Карагандинская область,7,10,6,7,7,5,7
Жамбылская область,7,10,6,7,7,6,6
Западно - Казахстанская область,7,10,6,7,7,7,5
Жамбылская область,7,10,6,7,7,7,6
Актюбинская область,7,10,6,7,7,7,8
Алматинская область,7,10,6,7,7,8,6
Актюбинская область,7,10,6,7,7,9,6
Акмолинская область,7,10,6,7,7,9,7
Ұлытау область,7,10,6,7,7,10,5
Восточно-Казахстанская область,7,10,6,7,7,10,6
Карагандинская область,7,10,6,7,7,10,6
Карагандинская область,7,10,6,7,7,10,7
Костанайская область,7,10,6,7,7,89,5
Западно - Казахстанская область,7,10,6,7,7,89,7
Мангистауская область,7,10,6,7,8,2,7
Павлодарская область,7,10,6,7,8,4,5
Костанайская область,7,10,6,7,8,6,5
Туркестанская область,7,10,6,7,8,6,7
г. Шымкент,7,10,6,7,8,7,6
Костанайская область,7,10,6,7,8,8,7
Кызылординская область,7,10,6,7,8,8,7
Павлодарская область,7,10,6,7,8,8,7
Северо-Казахстанская область,7,10,6,7,8,8,7
Северо-Казахстанская область,7,10,6,7,8,8,8
Северо-Казахстанская область,7,10,6,7,8,8,10
Актюбинская область,7,10,6,7,8,9,7
г. Шымкент,7,10,6,7,8,9,7
Восточно-Казахстанская область,7,10,6,7,8,9,8
Кызылординская область,7,10,6,7,8,9,8
Восточно-Казахстанская область,7,10,6,7,8,10,5
Восточно-Казахстанская область,7,10,6,7,8,10,7
Жамбылская область,7,10,6,7,8,10,10
Кызылординская область,7,10,6,7,8,89,6
Мангистауская область,7,10,6,7,8,89,7
г. Шымкент,7,10,6,7,9,5,6
г. Шымкент,7,10,6,7,9,7,7
Туркестанская область,7,10,6,7,9,8,6
Акмолинская область,7,10,6,7,9,8,8
Туркестанская область,7,10,6,7,9,9,5
Акмолинская область,7,10,6,7,9,10,5
г. Астана,7,10,6,7,9,89,7
Павлодарская область,7,10,6,7,9,89,9
Алматинская область,7,10,6,7,9,89,10
Восточно-Казахстанская область,7,10,6,7,10,7,7
Северо-Казахстанская область,7,10,6,7,10,7,7
Актюбинская область,7,10,6,7,10,8,6
Восточно-Казахстанская область,7,10,6,7,10,9,7
Павлодарская область,7,10,6,7,10,89,8
Восточно-Казахстанская область,7,10,6,8,5,6,7
Павлодарская область,7,10,6,8,5,8,8
Жамбылская область,7,10,6,8,5,89,5
Атырауская область,7,10,6,8,6,7,7
г. Алматы,7,10,6,8,6,9,6
Атырауская область,7,10,6,8,7,7,7
Карагандинская область,7,10,6,8,7,7,8
г. Алматы,7,10,6,8,7,8,7
Жамбылская область,7,10,6,8,7,8,9
Карагандинская область,7,10,6,8,7,8,89
Северо-Казахстанская область,7,10,6,8,7,9,7
г. Шымкент,7,10,6,8,7,89,5
Жамбылская область,7,10,6,8,7,89,5
г. Алматы,7,10,6,8,8,4,10
Восточно-Казахстанская область,7,10,6,8,8,5,4
Карагандинская область,7,10,6,8,8,6,7
Жамбылская область,7,10,6,8,8,7,5
Карагандинская область,7,10,6,8,8,7,7
Туркестанская область,7,10,6,8,8,7,7
Актюбинская область,7,10,6,8,8,7,8
Атырауская область,7,10,6,8,8,7,8
Абайская область,7,10,6,8,8,7,9
г. Астана,7,10,6,8,8,8,5
Восточно-Казахстанская область,7,10,6,8,8,8,7
г. Астана,7,10,6,8,8,8,9
Восточно-Казахстанская область,7,10,6,8,8,9,8
г. Алматы,7,10,6,8,8,9,8
Кызылординская область,7,10,6,8,8,9,9
Павлодарская область,7,10,6,8,8,10,8
Павлодарская область,7,10,6,8,9,4,5
Северо-Казахстанская область,7,10,6,8,9,7,8
Актюбинская область,7,10,6,8,9,8,8
Атырауская область,7,10,6,8,9,8,8
Северо-Казахстанская область,7,10,6,8,9,8,8
Акмолинская область,7,10,6,8,9,8,10
Восточно-Казахстанская область,7,10,6,8,9,9,5
Актюбинская область,7,10,6,8,9,10,8
Туркестанская область,7,10,6,8,10,7,8
Западно - Казахстанская область,7,10,6,9,6,8,7
Актюбинская область,7,10,6,9,6,9,8
Мангистауская область,7,10,6,9,6,89,8
Ұлытау область,7,10,6,9,6,89,10
Туркестанская область,7,10,6,9,7,5,5
г. Алматы,7,10,6,9,7,5,9
Костанайская область,7,10,6,9,7,7,7
Жамбылская область,7,10,6,9,7,7,9
Абайская область,7,10,6,9,7,8,7
Актюбинская область,7,10,6,9,7,8,7
Атырауская область,7,10,6,9,7,8,7
Западно - Казахстанская область,7,10,6,9,7,9,7
Северо-Казахстанская область,7,10,6,9,7,10,7
Актюбинская область,7,10,6,9,8,7,7
Костанайская область,7,10,6,9,9,8,6
Западно - Казахстанская область,7,10,6,9,9,9,5
Кызылординская область,7,10,6,9,9,89,10
Жетісу область,7,10,6,10,4,7,9
Восточно-Казахстанская область,7,10,6,10,5,7,8
Ұлытау область,7,10,6,10,7,3,6
Актюбинская область,7,10,6,10,7,7,4
Актюбинская область,7,10,6,10,7,9,9
Кызылординская область,7,10,6,10,7,89,6
Восточно-Казахстанская область,7,10,6,10,7,89,89
Северо-Казахстанская область,7,10,6,10,8,7,4
Туркестанская область,7,10,6,10,8,7,7
Абайская область,7,10,6,10,8,8,9
г. Алматы,7,10,6,10,8,10,10
Карагандинская область,7,10,6,10,9,4,10
г. Шымкент,7,10,6,10,9,5,6
Жамбылская область,7,10,6,10,9,5,7
Восточно-Казахстанская область,7,10,6,10,9,5,8
Карагандинская область,7,10,6,10,9,7,5
г. Астана,7,10,6,10,9,89,6
Акмолинская область,7,10,6,10,9,89,8
г. Астана,7,10,6,10,9,89,8
Карагандинская область,7,10,6,10,9,89,9
Жамбылская область,7,10,6,10,10,7,7
Туркестанская область,7,10,6,10,10,9,6
Кызылординская область,7,10,6,89,8,7,4
Акмолинская область,7,10,7,4,5,6,89
Павлодарская область,7,10,7,4,6,89,9
Кызылординская область,7,10,7,4,7,6,7
г. Алматы,7,10,7,4,7,8,9
г. Алматы,7,10,7,4,9,7,10
Туркестанская область,7,10,7,5,4,10,5
г. Алматы,7,10,7,5,5,89,8
Акмолинская область,7,10,7,5,6,8,5
г. Шымкент,7,10,7,5,7,10,6
Кызылординская область,7,10,7,5,8,7,7
г. Алматы,7,10,7,5,8,8,7
Акмолинская область,7,10,7,5,8,89,6
г. Астана,7,10,7,5,8,89,6
Мангистауская область,7,10,7,5,9,7,8
Туркестанская область,7,10,7,5,9,8,6
Абайская область,7,10,7,5,9,8,7
Алматинская область,7,10,7,5,10,6,8
Жамбылская область,7,10,7,5,10,89,7
Актюбинская область,7,10,7,6,3,8,8
Северо-Казахстанская область,7,10,7,6,4,9,9
Кызылординская область,7,10,7,6,5,5,8
Павлодарская область,7,10,7,6,5,7,5
Костанайская область,7,10,7,6,5,7,7
Туркестанская область,7,10,7,6,5,7,9
г. Шымкент,7,10,7,6,6,7,7
Мангистауская область,7,10,7,6,6,8,6
Северо-Казахстанская область,7,10,7,6,6,8,7
Восточно-Казахстанская область,7,10,7,6,6,9,6
Алматинская область,7,10,7,6,6,89,5
Павлодарская область,7,10,7,6,7,7,4
Алматинская область,7,10,7,6,7,7,6
г. Алматы,7,10,7,6,7,7,6
Актюбинская область,7,10,7,6,7,7,9
Туркестанская область,7,10,7,6,7,8,4
Северо-Казахстанская область,7,10,7,6,7,8,6
Акмолинская область,7,10,7,6,7,8,7
Восточно-Казахстанская область,7,10,7,6,7,8,7
Кызылординская область,7,10,7,6,7,8,9
Павлодарская область,7,10,7,6,7,10,7
г. Шымкент,7,10,7,6,7,89,7
Павлодарская область,7,10,7,6,8,4,9
Ұлытау область,7,10,7,6,8,8,5
Павлодарская область,7,10,7,6,8,8,7
Мангистауская область,7,10,7,6,8,9,6
Павлодарская область,7,10,7,6,8,9,7
Карагандинская область,7,10,7,6,8,89,8
Атырауская область,7,10,7,6,9,8,4
г. Алматы,7,10,7,6,9,9,9
Жамбылская область,7,10,7,6,9,9,9
Костанайская область,7,10,7,6,9,89,89
Мангистауская область,7,10,7,6,10,5,5
г. Шымкент,7,10,7,6,10,8,8
г. Алматы,7,10,7,6,10,89,5
Актюбинская область,7,10,7,6,10,89,7
Карагандинская область,7,10,7,7,4,6,9
г. Шымкент,7,10,7,7,4,8,7
Карагандинская область,7,10,7,7,5,8,5
Павлодарская область,7,10,7,7,5,9,5
г. Астана,7,10,7,7,5,89,6
Туркестанская область,7,10,7,7,5,89,7
Актюбинская область,7,10,7,7,5,89,9
Карагандинская область,7,10,7,7,6,6,6
Атырауская область,7,10,7,7,6,7,6
Жамбылская область,7,10,7,7,6,7,7
Западно - Казахстанская область,7,10,7,7,6,7,7
Абайская область,7,10,7,7,6,7,8
Алматинская область,7,10,7,7,6,7,9
Карагандинская область,7,10,7,7,6,7,9
Северо-Казахстанская область,7,10,7,7,6,8,7
Карагандинская область,7,10,7,7,6,8,8
г. Астана,7,10,7,7,6,9,6
Северо-Казахстанская область,7,10,7,7,6,9,6
Актюбинская область,7,10,7,7,6,89,5
Туркестанская область,7,10,7,7,6,89,6
Северо-Казахстанская область,7,10,7,7,6,89,7
Кызылординская область,7,10,7,7,7,5,6
Акмолинская область,7,10,7,7,7,6,7
Атырауская область,7,10,7,7,7,6,7
Атырауская область,7,10,7,7,7,6,8
г. Астана,7,10,7,7,7,7,6
г. Алматы,7,10,7,7,7,7,7
Туркестанская область,7,10,7,7,7,7,7
Атырауская область,7,10,7,7,7,7,8
Туркестанская область,7,10,7,7,7,7,8
Мангистауская область,7,10,7,7,7,7,10
Кызылординская область,7,10,7,7,7,7,89
Западно - Казахстанская область,7,10,7,7,7,8,5
Жамбылская область,7,10,7,7,7,8,6
Павлодарская область,7,10,7,7,7,8,6
Акмолинская область,7,10,7,7,7,8,7
Восточно-Казахстанская область,7,10,7,7,7,8,7
Жетісу область,7,10,7,7,7,8,7
Кызылординская область,7,10,7,7,7,8,7
Северо-Казахстанская область,7,10,7,7,7,8,7
г. Шымкент,7,10,7,7,7,8,8
Кызылординская область,7,10,7,7,7,8,8
Туркестанская область,7,10,7,7,7,8,8
Павлодарская область,7,10,7,7,7,8,89
Туркестанская область,7,10,7,7,7,8,89
Акмолинская область,7,10,7,7,7,9,6
Жетісу область,7,10,7,7,7,9,7
Карагандинская область,7,10,7,7,7,9,7
Жетісу область,7,10,7,7,7,9,9
Актюбинская область,7,10,7,7,7,10,4
Кызылординская область,7,10,7,7,7,10,4
Жетісу область,7,10,7,7,7,10,7
Актюбинская область,7,10,7,7,7,10,10
Алматинская область,7,10,7,7,7,89,6
Восточно-Казахстанская область,7,10,7,7,7,89,6
г. Шымкент,7,10,7,7,7,89,6
Туркестанская область,7,10,7,7,7,89,6
Восточно-Казахстанская область,7,10,7,7,7,89,7
Жетісу область,7,10,7,7,7,89,7
Кызылординская область,7,10,7,7,7,89,8
Актюбинская область,7,10,7,7,7,89,9
Атырауская область,7,10,7,7,7,89,9
Мангистауская область,7,10,7,7,7,89,9
г. Алматы,7,10,7,7,8,7,7
Жамбылская область,7,10,7,7,8,7,7
Актюбинская область,7,10,7,7,8,7,8
г. Астана,7,10,7,7,8,7,8
Костанайская область,7,10,7,7,8,7,9
Акмолинская область,7,10,7,7,8,8,7
Актюбинская область,7,10,7,7,8,8,7
Павлодарская область,7,10,7,7,8,8,7
Акмолинская область,7,10,7,7,8,8,8
г. Астана,7,10,7,7,8,8,9
Карагандинская область,7,10,7,7,8,8,9
Жетісу область,7,10,7,7,8,9,5
г. Алматы,7,10,7,7,8,9,6
Павлодарская область,7,10,7,7,8,9,6
Атырауская область,7,10,7,7,8,9,7
Жетісу область,7,10,7,7,8,9,7
г. Астана,7,10,7,7,8,10,6
г. Шымкент,7,10,7,7,8,10,7
Павлодарская область,7,10,7,7,8,89,5
Акмолинская область,7,10,7,7,8,89,6
г. Шымкент,7,10,7,7,8,89,6
Акмолинская область,7,10,7,7,8,89,7
Северо-Казахстанская область,7,10,7,7,9,5,8
Мангистауская область,7,10,7,7,9,6,7
Западно - Казахстанская область,7,10,7,7,9,7,6
Карагандинская область,7,10,7,7,9,7,7
Абайская область,7,10,7,7,9,8,6
Атырауская область,7,10,7,7,9,8,7
Северо-Казахстанская область,7,10,7,7,9,8,8
Костанайская область,7,10,7,7,9,10,6
Алматинская область,7,10,7,7,9,10,7
Мангистауская область,7,10,7,7,9,89,6
Жамбылская область,7,10,7,7,9,89,7
Восточно-Казахстанская область,7,10,7,7,9,89,8
Карагандинская область,7,10,7,7,10,5,7
Павлодарская область,7,10,7,7,10,6,6
Костанайская область,7,10,7,7,10,7,6
Северо-Казахстанская область,7,10,7,7,10,7,6
Жамбылская область,7,10,7,7,10,7,7
Актюбинская область,7,10,7,7,10,7,9
г. Алматы,7,10,7,7,10,8,7
Жамбылская область,7,10,7,7,10,8,7
Туркестанская область,7,10,7,7,10,8,7
Костанайская область,7,10,7,7,10,8,8
Западно - Казахстанская область,7,10,7,7,10,9,7
Восточно-Казахстанская область,7,10,7,7,10,10,7
г. Астана,7,10,7,7,10,10,9
Костанайская область,7,10,7,7,10,89,7
г. Алматы,7,10,7,8,4,10,8
Карагандинская область,7,10,7,8,4,89,7
Жамбылская область,7,10,7,8,5,8,4
Туркестанская область,7,10,7,8,5,8,7
Костанайская область,7,10,7,8,5,10,8
Карагандинская область,7,10,7,8,6,5,4
Мангистауская область,7,10,7,8,6,5,89
Павлодарская область,7,10,7,8,6,6,8
Костанайская область,7,10,7,8,6,8,7
Павлодарская область,7,10,7,8,6,10,7
Абайская область,7,10,7,8,6,10,8
Северо-Казахстанская область,7,10,7,8,6,89,7
г. Астана,7,10,7,8,7,5,6
Карагандинская область,7,10,7,8,7,7,10
Атырауская область,7,10,7,8,7,8,4
Северо-Казахстанская область,7,10,7,8,7,8,5
Жамбылская область,7,10,7,8,7,8,7
Восточно-Казахстанская область,7,10,7,8,7,8,8
Северо-Казахстанская область,7,10,7,8,7,8,8
Ұлытау область,7,10,7,8,7,8,8
Павлодарская область,7,10,7,8,7,8,9
Алматинская область,7,10,7,8,7,9,4
Актюбинская область,7,10,7,8,7,10,7
Алматинская область,7,10,7,8,7,10,8
Алматинская область,7,10,7,8,7,10,10
г. Астана,7,10,7,8,7,89,5
Карагандинская область,7,10,7,8,7,89,5
Костанайская область,7,10,7,8,7,89,6
Акмолинская область,7,10,7,8,8,3,9
Восточно-Казахстанская область,7,10,7,8,8,4,4
Актюбинская область,7,10,7,8,8,5,7
Атырауская область,7,10,7,8,8,7,6
г. Алматы,7,10,7,8,8,7,8
Западно - Казахстанская область,7,10,7,8,8,7,9
г. Астана,7,10,7,8,8,8,4
Восточно-Казахстанская область,7,10,7,8,8,8,6
Актюбинская область,7,10,7,8,8,8,7
Мангистауская область,7,10,7,8,8,8,7
Акмолинская область,7,10,7,8,8,8,8
г. Алматы,7,10,7,8,8,8,8
Северо-Казахстанская область,7,10,7,8,8,8,8
Туркестанская область,7,10,7,8,8,8,8
Актюбинская область,7,10,7,8,8,8,9
Костанайская область,7,10,7,8,8,8,10
Атырауская область,7,10,7,8,8,9,6
г. Шымкент,7,10,7,8,8,9,8
Мангистауская область,7,10,7,8,8,9,8
Акмолинская область,7,10,7,8,8,9,9
Кызылординская область,7,10,7,8,8,9,10
Северо-Казахстанская область,7,10,7,8,8,10,7
г. Алматы,7,10,7,8,8,10,8
Северо-Казахстанская область,7,10,7,8,8,10,9
г. Шымкент,7,10,7,8,8,89,4
Павлодарская область,7,10,7,8,8,89,5
Акмолинская область,7,10,7,8,8,89,7
Актюбинская область,7,10,7,8,8,89,7
Туркестанская область,7,10,7,8,8,89,7
г. Шымкент,7,10,7,8,8,89,8
Кызылординская область,7,10,7,8,8,89,9
Жетісу область,7,10,7,8,9,5,8
Восточно-Казахстанская область,7,10,7,8,9,5,9
Акмолинская область,7,10,7,8,9,6,8
Кызылординская область,7,10,7,8,9,8,5
Костанайская область,7,10,7,8,9,8,7
г. Алматы,7,10,7,8,9,8,8
Жамбылская область,7,10,7,8,9,8,8
Павлодарская область,7,10,7,8,9,8,8
г. Астана,7,10,7,8,9,8,10
Абайская область,7,10,7,8,9,9,5
Павлодарская область,7,10,7,8,9,9,6
Актюбинская область,7,10,7,8,9,9,8
Павлодарская область,7,10,7,8,9,9,8
Актюбинская область,7,10,7,8,9,10,7
Карагандинская область,7,10,7,8,9,10,7
г. Шымкент,7,10,7,8,9,89,8
Жамбылская область,7,10,7,8,9,89,8
Ұлытау область,7,10,7,8,10,7,6
Актюбинская область,7,10,7,8,10,7,7
Павлодарская область,7,10,7,8,10,7,8
г. Шымкент,7,10,7,8,10,8,4
Туркестанская область,7,10,7,8,10,8,6
Туркестанская область,7,10,7,8,10,8,10
Восточно-Казахстанская область,7,10,7,8,10,10,7
Карагандинская область,7,10,7,8,10,10,89
г. Астана,7,10,7,8,10,89,7
Карагандинская область,7,10,7,8,10,89,8
Карагандинская область,7,10,7,9,5,4,8
Жамбылская область,7,10,7,9,5,6,5
Кызылординская область,7,10,7,9,5,9,10
Северо-Казахстанская область,7,10,7,9,5,89,8
Атырауская область,7,10,7,9,6,5,7
г. Шымкент,7,10,7,9,6,8,6
Актюбинская область,7,10,7,9,6,9,7
Атырауская область,7,10,7,9,6,9,8
г. Астана,7,10,7,9,6,89,7
г. Астана,7,10,7,9,7,6,5
Восточно-Казахстанская область,7,10,7,9,7,7,6
Павлодарская область,7,10,7,9,7,7,7
Северо-Казахстанская область,7,10,7,9,7,8,4
г. Астана,7,10,7,9,7,8,6
Туркестанская область,7,10,7,9,7,8,7
Северо-Казахстанская область,7,10,7,9,7,8,8
г. Астана,7,10,7,9,7,9,5
Туркестанская область,7,10,7,9,7,9,8
Северо-Казахстанская область,7,10,7,9,7,89,6
г. Астана,7,10,7,9,7,89,9
Карагандинская область,7,10,7,9,7,89,9
Карагандинская область,7,10,7,9,8,7,8
Акмолинская область,7,10,7,9,8,8,7
Алматинская область,7,10,7,9,8,8,8
Туркестанская область,7,10,7,9,8,8,8
Костанайская область,7,10,7,9,8,9,7
Алматинская область,7,10,7,9,8,9,8
Жамбылская область,7,10,7,9,8,9,8
Актюбинская область,7,10,7,9,8,10,5
Кызылординская область,7,10,7,9,8,10,10
Акмолинская область,7,10,7,9,9,6,5
Жамбылская область,7,10,7,9,9,6,8
Туркестанская область,7,10,7,9,9,7,7
г. Алматы,7,10,7,9,9,8,8
Атырауская область,7,10,7,9,9,10,7
Северо-Казахстанская область,7,10,7,9,9,89,7
Акмолинская область,7,10,7,9,9,89,9
Северо-Казахстанская область,7,10,7,9,9,89,10
г. Астана,7,10,7,9,10,5,7
